2024-07-04 11:02:33.079 | INFO     | robot_server.dependent_library.log:info:24 - getChargeData: {'packHead': 21930, 'frameLength': 125, 'frameLengthNot': 65410, 'serialNumber': 190, 'dataObject': 1, 'frameCode': 30, 'data': b'\x00\x00\x00}\x00\x00\x1aa\x00\x00\x00\xcf\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00B\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x002\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x03\xa6\rU\xaa\x00\x1e\xff\xe1\xbf\x01\x1f\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'frameCRC': 62230, 'frameEnd': 13}
2024-07-04 11:02:33.080 | INFO     | robot_server.dependent_library.log:info:24 - getChargeData error: unpack requires a buffer of 120 bytes
2024-07-04 11:03:00.136 | INFO     | robot_server.dependent_library.log:info:24 - getChargeData: {'packHead': 21930, 'frameLength': 125, 'frameLengthNot': 65410, 'serialNumber': 244, 'dataObject': 1, 'frameCode': 30, 'data': b'\x00\x00\x00}\x00\x00\x1ab\x00\x00\x00\xcf\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00B\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x002\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xbd\xc2\rU\xaa\x00\x1e\xff\xe1\xf5\x01\x1f\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'frameCRC': 24470, 'frameEnd': 13}
2024-07-04 11:03:00.143 | INFO     | robot_server.dependent_library.log:info:24 - getChargeData error: unpack requires a buffer of 120 bytes
2024-07-04 11:03:45.179 | INFO     | robot_server.dependent_library.log:info:24 - getChargeData: {'packHead': 21930, 'frameLength': 125, 'frameLengthNot': 65410, 'serialNumber': 78, 'dataObject': 1, 'frameCode': 30, 'data': b'\x00\x00\x00}\x00\x00\x1ac\x00\x00\x00\xcf\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00B\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x002\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00L\xdb\rU\xaa\x00\x1e\xff\xe1O\x01\x1f\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'frameCRC': 17175, 'frameEnd': 13}
2024-07-04 11:03:45.185 | INFO     | robot_server.dependent_library.log:info:24 - getChargeData error: unpack requires a buffer of 120 bytes
2024-07-04 11:09:11.519 | INFO     | robot_server.dependent_library.log:info:24 - getChargeData: {'packHead': 21930, 'frameLength': 125, 'frameLengthNot': 65410, 'serialNumber': 218, 'dataObject': 1, 'frameCode': 30, 'data': b'\x00\x00\x00}\x00\x00\x1ah\x00\x00\x00\xcf\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00B\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x002\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00=\xdb\rU\xaa\x00\x1e\xff\xe1\xdb\x01\x1f\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'frameCRC': 6230, 'frameEnd': 13}
2024-07-04 11:09:11.527 | INFO     | robot_server.dependent_library.log:info:24 - getChargeData error: unpack requires a buffer of 120 bytes
2024-07-04 11:09:23.497 | INFO     | robot_server.dependent_library.log:info:24 - getChargeData: {'packHead': 21930, 'frameLength': 125, 'frameLengthNot': 65410, 'serialNumber': 242, 'dataObject': 1, 'frameCode': 30, 'data': b'\x00\x00\x00}\x00\x00\x1ah\x00\x00\x00\xcf\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00B\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x002\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00<s\rU\xaa\x00\x1e\xff\xe1\xf3\x01\x1f\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'frameCRC': 20566, 'frameEnd': 13}
2024-07-04 11:09:23.499 | INFO     | robot_server.dependent_library.log:info:24 - getChargeData error: unpack requires a buffer of 120 bytes
